name, loc, std_item_detection, translation, verification, vcs, total,
adt_use_before_declare,       13, 184228, 284, 3490831, 0, 3721866,
adts,       90, 174730, 499, 4312655, 3, 4542004,
blocks,       27, 181201, 313, 4235947, 2, 4450191,
boxes,        9, 180653, 292, 3870121, 1, 4111752,
cast_correctness,       43, 167122, 541, 5136367, 13, 5387222,
clone,       37, 169572, 272, 4103624, 1, 4348080,
double_ref_param,       24, 175823, 398, 4191116, 5, 4419345,
external_fn,       22, 187575, 360, 4093395, 2, 4318188,
fact,       14, 188513, 278, 4839059, 3, 5064729,
fn_ref_param,       24, 182045, 381, 4275949, 5, 4512025,
generic_id,        9, 184397, 255, 3520976, 0, 3730117,
generic_option,       37, 183613, 457, 4555061, 10, 4771088,
generic_result,       31, 184885, 434, 4388275, 8, 4631536,
impl_fns,       37, 177342, 453, 4276175, 5, 4518436,
impl_mut_spec,       19, 181835, 334, 4371275, 1, 4591581,
implies,        9, 185969, 247, 3768165, 1, 3985854,
insertion_sort,      111, 166499, 1002, 6352097, 42, 6640403,
int_operators,      189, 180803, 897, 10815511, 70, 11072650,
int_option,       30, 171384, 356, 3966382, 1, 4189574,
let_type,       19, 164002, 323, 4063175, 2, 4291607,
list_binary_search,       93, 161772, 721, 7027061, 23, 7283451,
map_ops,       40, 166055, 595, 5358277, 31, 5628863,
monoid,       49, 189422, 464, 7235622, 9, 7457830,
mut_clone,       11, 158092, 266, 3868156, 1, 4098629,
mut_local_fields,       55, 189049, 439, 4752180, 6, 4974763,
mut_local_lets,       29, 163594, 364, 4163187, 2, 4397541,
mut_local_params,       26, 189117, 348, 4110802, 3, 4348192,
mut_mem_replace,       60, 163435, 730, 6248180, 26, 6502248,
mut_old,       20, 175657, 349, 4293520, 3, 4527141,
mut_params,        8, 184333, 242, 3440912, 0, 3651141,
mut_ref_borrow_0,       11, 192137, 247, 3927141, 2, 4161355,
mut_ref_borrow_1,       12, 181080, 296, 3921384, 1, 4157480,
mut_ref_borrow_10,       10, 174427, 390, 4165684, 3, 4382990,
mut_ref_borrow_11,       16, 173333, 404, 4182151, 3, 4400550,
mut_ref_borrow_12,       51, 168996, 596, 5902322, 27, 6142314,
mut_ref_borrow_2,       13, 179653, 322, 3961864, 1, 4192441,
mut_ref_borrow_3,       14, 206102, 344, 4163183, 1, 4422266,
mut_ref_borrow_5,       23, 177371, 361, 4297478, 3, 4532952,
mut_ref_borrow_6,       26, 175220, 359, 3698395, 0, 3915635,
mut_ref_borrow_7,       31, 169956, 440, 4281183, 3, 4521380,
mut_ref_borrow_8,       18, 189790, 333, 4111411, 3, 4343435,
mut_ref_borrow_9,       17, 188286, 302, 5065252, 3, 5296726,
mut_ref_clone,       12, 164607, 279, 3983751, 1, 4223236,
mut_ref_immut_borrow,       33, 180472, 344, 4284242, 5, 4517606,
mut_ref_tuple,        9, 183561, 249, 4067913, 1, 4293145,
mut_return,       51, 166162, 600, 4828910, 14, 5064414,
mut_tuple,        8, 188217, 254, 3912642, 1, 4128020,
nested_spec,       16, 187549, 301, 3890679, 2, 4112269,
nested_spec_impl,       20, 192057, 350, 4186493, 2, 4440630,
panic_type,       33, 172967, 616, 4775494, 15, 5028731,
phantom_data,       22, 167897, 322, 4070002, 2, 4301097,
return_stmt,       65, 178195, 494, 6299526, 17, 6551473,
set_ops,       20, 168065, 332, 3721324, 2, 3971551,
spec_on_trait_impl,       22, 193783, 393, 4741884, 3, 4972314,
strings,       39, 180680, 447, 4176270, 4, 4412037,
struct_update,       23, 191288, 305, 4131622, 1, 4354702,
tuple_match,       12, 184610, 263, 3781795, 2, 4011960,
tuple_result,        9, 165387, 452, 3837709, 4, 4044301,
tuples,       44, 170909, 454, 4061314, 5, 4286095,
type_class_call_specs,       18, 176753, 367, 3751654, 2, 3958635,
type_class_multi_lookup,       59, 168449, 541, 5034567, 8, 5259115,
type_class_specs,       28, 180656, 462, 4441570, 5, 4658766,
type_class_without_evidence,       27, 171116, 408, 4412943, 2, 4632847,
use_local,       19, 176184, 563, 4736582, 6, 4952998,
use_std,        9, 178606, 219, 3086474, 0, 3289141,
adt_use_before_declare,       13, 166565, 269, 3309907, 0, 3522130,
adts,       90, 169086, 476, 4086243, 3, 4304741,
blocks,       27, 176251, 335, 3577054, 2, 3785419,
boxes,        9, 159680, 247, 3445259, 1, 3661939,
cast_correctness,       43, 158488, 607, 4582489, 13, 4822875,
clone,       37, 157629, 281, 3617316, 1, 3845566,
double_ref_param,       24, 168073, 445, 3841761, 5, 4058087,
external_fn,       22, 177552, 432, 3684970, 2, 3897114,
fact,       14, 176271, 274, 4337488, 3, 4549561,
fn_ref_param,       24, 164727, 443, 3860623, 5, 4076432,
generic_id,        9, 177216, 266, 3176621, 0, 3378362,
generic_option,       37, 175192, 475, 4033387, 10, 4239393,
generic_result,       31, 165508, 453, 4029110, 8, 4250435,
impl_fns,       37, 165566, 473, 3896186, 5, 4121749,
impl_mut_spec,       19, 175628, 377, 3717512, 1, 3927442,
implies,        9, 175320, 268, 3470847, 1, 3676491,
insertion_sort,      111, 158823, 872, 5863603, 42, 6138121,
int_operators,      189, 171107, 979, 9954615, 70, 10196061,
int_option,       30, 168134, 426, 3720237, 1, 3936349,
let_type,       19, 154456, 380, 3724316, 2, 3940291,
list_binary_search,       93, 153332, 791, 6595052, 23, 6840708,
map_ops,       40, 158202, 619, 5068834, 31, 5328284,
monoid,       49, 177283, 532, 6439473, 9, 6648275,
mut_clone,       11, 153134, 290, 3583955, 1, 3804287,
mut_local_fields,       55, 175142, 524, 4232997, 6, 4444630,
mut_local_lets,       29, 156775, 365, 3797935, 2, 4019450,
mut_local_params,       26, 177096, 414, 3772213, 3, 3996693,
mut_mem_replace,       60, 154462, 649, 5808017, 26, 6045645,
mut_old,       20, 166506, 345, 3935745, 3, 4162407,
mut_params,        8, 176764, 286, 3264530, 0, 3467696,
mut_ref_borrow_0,       11, 174883, 252, 3567259, 2, 3781032,
mut_ref_borrow_1,       12, 167957, 295, 3666276, 1, 3883150,
mut_ref_borrow_10,       10, 170407, 344, 3810232, 3, 4021615,
mut_ref_borrow_11,       16, 163388, 343, 3935598, 3, 4140853,
mut_ref_borrow_12,       51, 159273, 660, 5546753, 27, 5773093,
mut_ref_borrow_2,       13, 165233, 281, 3640438, 1, 3854241,
mut_ref_borrow_3,       14, 164024, 391, 3656304, 1, 3869465,
mut_ref_borrow_5,       23, 173019, 416, 3888422, 3, 4118402,
mut_ref_borrow_6,       26, 161645, 445, 3427338, 0, 3630144,
mut_ref_borrow_7,       31, 160880, 509, 4061744, 3, 4286808,
mut_ref_borrow_8,       18, 172442, 326, 3858806, 3, 4070311,
mut_ref_borrow_9,       17, 170733, 369, 3830590, 3, 4041729,
mut_ref_clone,       12, 159787, 280, 3631628, 1, 3861533,
mut_ref_immut_borrow,       33, 164532, 367, 3869511, 5, 4087055,
mut_ref_tuple,        9, 173901, 266, 3668958, 1, 3884249,
mut_return,       51, 159030, 684, 4398997, 14, 4622506,
mut_tuple,        8, 179669, 239, 3648156, 1, 3853001,
nested_spec,       16, 177628, 283, 3596235, 2, 3806116,
nested_spec_impl,       20, 167901, 354, 3633136, 2, 3856264,
panic_type,       33, 162902, 447, 4339761, 15, 4578651,
phantom_data,       22, 158655, 361, 3644269, 2, 3864337,
return_stmt,       65, 161788, 557, 5970121, 17, 6201013,
set_ops,       20, 155641, 425, 3541853, 2, 3780340,
spec_on_trait_impl,       22, 175663, 428, 4351169, 3, 4561595,
strings,       39, 161532, 507, 3739206, 4, 3951775,
struct_update,       23, 175842, 317, 3662335, 1, 3868465,
tuple_match,       12, 172209, 396, 3733001, 2, 3945079,
tuple_result,        9, 161401, 361, 3836399, 4, 4038722,
tuples,       44, 178168, 457, 4068393, 5, 4299430,
type_class_call_specs,       18, 173999, 404, 3751889, 2, 3956357,
type_class_multi_lookup,       59, 167338, 609, 5030917, 8, 5257600,
type_class_specs,       28, 178585, 478, 4458184, 5, 4671370,
type_class_without_evidence,       27, 165438, 381, 4388186, 2, 4602185,
use_local,       19, 177990, 576, 4710694, 6, 4928974,
use_std,        9, 174637, 217, 3080189, 0, 3279124,
adt_use_before_declare,       13, 169283, 289, 3275230, 0, 3491999,
adts,       90, 167242, 554, 4104130, 3, 4321238,
blocks,       27, 174694, 343, 3555272, 2, 3762193,
boxes,        9, 158499, 250, 3408197, 1, 3624800,
cast_correctness,       43, 160829, 623, 4555711, 13, 4796799,
clone,       37, 154149, 549, 4015480, 2, 4253275,
double_ref_param,       24, 169263, 370, 3851427, 5, 4073031,
external_fn,       22, 176470, 364, 3699075, 2, 3910503,
fact,       14, 176732, 293, 4265386, 3, 4478595,
fn_ref_param,       24, 167884, 416, 3848136, 5, 4066398,
generic_id,        9, 174050, 263, 3170725, 0, 3369005,
generic_option,       37, 176224, 470, 4019909, 10, 4226640,
generic_result,       31, 164326, 444, 4013701, 8, 4234251,
impl_fns,       37, 179096, 499, 3906636, 5, 4144989,
impl_mut_spec,       19, 170444, 382, 3806660, 1, 4011320,
implies,        9, 175404, 275, 3420752, 1, 3626978,
insertion_sort,      111, 154323, 894, 5870455, 42, 6140727,
int_operators,      189, 170494, 868, 9947910, 70, 10191723,
int_option,       30, 163523, 434, 3686354, 1, 3898944,
let_type,       19, 155316, 441, 3713597, 2, 3930262,
list_binary_search,       93, 153822, 798, 6535088, 23, 6780745,
map_ops,       40, 156935, 620, 5107748, 31, 5368539,
monoid,       49, 176156, 479, 6504504, 9, 6713609,
mut_clone,       11, 157744, 277, 3629502, 1, 3855465,
mut_local_fields,       55, 175485, 551, 4278736, 6, 4487658,
mut_local_lets,       29, 153251, 426, 3732209, 2, 3951183,
mut_local_params,       26, 170905, 414, 3794900, 3, 4010387,
mut_mem_replace,       60, 155033, 575, 5866245, 26, 6106377,
mut_old,       20, 169696, 430, 3916946, 3, 4144195,
mut_params,        8, 175106, 313, 3238732, 0, 3438793,
mut_ref_borrow_0,       11, 170602, 260, 3589077, 2, 3801168,
mut_ref_borrow_1,       12, 168654, 319, 3624431, 1, 3841693,
mut_ref_borrow_10,       10, 161580, 369, 3751814, 3, 3955913,
mut_ref_borrow_11,       16, 163452, 389, 3943858, 3, 4150063,
mut_ref_borrow_12,       51, 161628, 655, 5534493, 27, 5763402,
mut_ref_borrow_2,       13, 165917, 307, 3651792, 1, 3866874,
mut_ref_borrow_3,       14, 167455, 351, 3688511, 1, 3908006,
mut_ref_borrow_5,       23, 167160, 376, 3898281, 3, 4124506,
mut_ref_borrow_6,       26, 164199, 430, 3570128, 0, 3776023,
mut_ref_borrow_7,       31, 161640, 526, 4087800, 3, 4315781,
mut_ref_borrow_8,       18, 171965, 356, 3836902, 3, 4049419,
mut_ref_borrow_9,       17, 173322, 353, 3809179, 3, 4023661,
mut_ref_clone,       12, 154554, 291, 3593546, 1, 3816157,
mut_ref_immut_borrow,       33, 168406, 351, 3874069, 5, 4091203,
mut_ref_tuple,        9, 173822, 286, 3648689, 1, 3862555,
mut_return,       51, 156362, 583, 4411929, 14, 4633687,
mut_tuple,        8, 173397, 273, 3665465, 1, 3864054,
nested_spec,       16, 182438, 287, 3622946, 2, 3838006,
nested_spec_impl,       20, 167469, 384, 3637919, 2, 3859682,
panic_type,       33, 154737, 491, 4314668, 15, 4544618,
phantom_data,       22, 152492, 391, 3691279, 2, 3903703,
return_stmt,       65, 163534, 498, 5946154, 17, 6180946,
set_ops,       20, 156676, 336, 3548261, 2, 3784323,
spec_on_trait_impl,       22, 179463, 392, 4347181, 3, 4573035,
strings,       39, 159127, 450, 3786933, 4, 3995553,
struct_update,       23, 174898, 285, 3691306, 1, 3895599,
tuple_match,       12, 172154, 274, 3753485, 2, 3966388,
tuple_result,        9, 160396, 316, 3792387, 4, 3997731,
tuples,       44, 173828, 596, 4018579, 5, 4244841,
