name, loc, std_item_detection, extraction, verification, vcs, total,
adt_use_before_declare,       13, 185322, 226, 3510289, 0, 3745560,
adts,       90, 185272, 526, 4916869, 5, 5161701,
blocks,       27, 305019, 313, 4556513, 2, 4913803,
boxes,        9, 182997, 360, 3583283, 1, 3828763,
cast_correctness,       43, 173865, 514, 6882060, 17, 7146115,
clone,       35, 162256, 297, 4591583, 1, 4827197,
double_ref_param,       24, 173703, 357, 4132380, 5, 4359305,
external_fn,       22, 199390, 470, 3954394, 2, 4196581,
fact,       14, 184957, 272, 4609026, 3, 4831418,
fn_ref_param,       24, 186912, 325, 3961714, 5, 4203810,
generic_id,        9, 193000, 241, 3291223, 0, 3509682,
generic_option,       37, 184566, 423, 4174422, 10, 4390134,
generic_result,       31, 197072, 435, 5012494, 6, 5271494,
impl_fns,       37, 171844, 455, 4049465, 5, 4281890,
implies,        9, 199479, 333, 3661056, 1, 3895105,
insertion_sort,      111, 163369, 892, 6124894, 44, 6408544,
int_operators,      189, 184952, 872, 10478609, 70, 10743106,
int_option,       30, 177950, 393, 3840210, 1, 4070439,
let_type,       19, 164080, 316, 3895327, 2, 4126388,
list_binary_search,       93, 168392, 744, 7255293, 23, 7520017,
map_ops,       40, 167620, 550, 5342544, 31, 5620756,
monoid,       49, 184953, 479, 7281379, 9, 7499895,
mut_clone,       11, 189430, 380, 4061997, 1, 4335239,
mut_local_fields,       55, 202916, 466, 4674025, 6, 4914978,
mut_local_lets,       29, 181424, 486, 4002901, 2, 4262930,
mut_local_params,       26, 198921, 334, 4119178, 4, 4367088,
mut_params,        8, 197904, 242, 3403347, 0, 3627995,
mut_ref_borrow_0,       11, 190606, 227, 3858440, 2, 4092002,
mut_ref_borrow_1,       12, 187412, 267, 3921433, 1, 4164331,
mut_ref_borrow_10,       10, 181042, 330, 4053983, 3, 4281489,
mut_ref_borrow_11,       16, 198335, 569, 4331751, 3, 4580362,
mut_ref_borrow_2,       13, 198018, 277, 3960362, 1, 4215800,
mut_ref_borrow_3,       14, 186742, 317, 4027049, 1, 4272438,
mut_ref_borrow_5,       23, 185946, 340, 4196078, 3, 4446286,
mut_ref_borrow_6,       26, 203233, 437, 3729351, 0, 3980916,
mut_ref_borrow_7,       31, 185302, 480, 4479675, 3, 4731168,
mut_ref_borrow_8,       18, 223355, 328, 4452523, 4, 4727447,
mut_ref_borrow_9,       17, 199582, 316, 4177487, 4, 4422431,
mut_ref_clone,       12, 174142, 264, 3834635, 1, 4086799,
mut_ref_immut_borrow,       33, 186084, 321, 4200146, 5, 4445843,
mut_ref_tuple,        9, 193210, 258, 3896114, 1, 4133749,
mut_return,       51, 184381, 822, 6216805, 15, 6480906,
mut_tuple,        8, 199323, 246, 3894910, 1, 4122415,
nested_spec,       16, 198218, 288, 3833608, 2, 4069729,
nested_spec_impl,       20, 192751, 345, 4639580, 2, 4895616,
panic_type,       33, 213310, 485, 6013528, 15, 6334675,
phantom_data,       22, 225300, 362, 4805166, 2, 5121960,
return_stmt,       65, 247749, 826, 8668159, 19, 9056632,
set_ops,       20, 197066, 312, 4336092, 2, 4630859,
spec_on_trait_impl,       15, 287441, 422, 4905991, 1, 5239646,
strings,       39, 225334, 551, 4568160, 4, 4859154,
struct_update,       23, 223777, 315, 4457665, 1, 4720832,
tuple_match,       12, 261260, 326, 5995296, 2, 6319143,
tuple_result,        9, 272182, 767, 5771242, 4, 6111549,
tuples,       44, 293250, 527, 6213217, 5, 6589142,
type_class_call_specs,       18, 266542, 390, 5153271, 2, 5463328,
type_class_multi_lookup,       59, 237705, 700, 6589902, 8, 6901562,
type_class_specs,       28, 243545, 422, 5723482, 5, 6015315,
type_class_without_evidence,       27, 235270, 367, 5843852, 2, 6145832,
use_local,       19, 243246, 705, 6288046, 6, 6584964,
use_std,        9, 221641, 202, 3917765, 0, 4169258,
